Words,Length,AROU,CNC,SIZE
,,M,M,M
catch (romantic),5,6.412,3,4.706
caterpillar,11,3.563,6.788,1.484
cathedral,9,4.029,6.412,5.647
cattle,6,3.242,6.5,4.242
caught,6,5,4.086,3.914
cauliflower,11,3.088,6.677,2.529
caution,7,5.4,2.677,4.909
cautious,8,4.152,2.618,3.667
cave,4,4.235,5.971,5.088
caviar,6,3.515,6.394,2.548
cavity,6,3.059,5.788,3.114
cease,5,4.125,3.742,4.125
ceiling,7,2.849,6.647,4.71
celebrate,9,7.313,4.258,5.452
celebration,11,7.4,4.371,5.771
celebrity,9,5.441,4.097,4.97
celery,6,3.182,6.606,2.485
cell,4,3.971,5.824,2.853
cell (biological),4,3.6,5.543,2.455
cell (jail),4,3.438,6.471,3.273
cellar,6,3.303,6.143,3.697
cello,5,3.688,6.706,4.212
cells,5,4.452,5.767,2.281
cement,6,2.882,6.657,4.235
cemetery,8,3.914,6.371,5.294
cervix,6,4.5,6.121,2.849
chain,5,4.629,6.343,3.441
chair,5,3.265,6.677,3.156
chair (head),5,3.943,4.897,4.161
chair (seat),5,2.629,6.677,3.177
chalice,7,5,5.393,3.25
chalk,5,3.613,6.71,2.097
chameleon,9,5.406,6.152,3.063
champion,8,7.235,4.788,5.909
chance,6,5.824,2.4,4.618
chandelier,10,5.031,6.667,4.031
change,6,4.912,3.242,5.057
change (coins),6,4.606,6.294,2.265
change (transform),6,5.829,3.771,5.229
chaos,5,6.441,3.059,5.941
chaotic,7,7.177,2.714,5.857
chapel,6,3.879,6.371,4.4
charge,6,4.4,4.171,4.235
charge (card),6,3.531,3.818,3.625
charge (dependent),6,3.5,3.688,3.742
charge (electric),6,5.909,4.636,4.303
charge (price),6,3.743,4.529,4.375
charge (rush),6,5.936,4.29,5.032
charity,7,4.314,4,4.943
charlatan,9,4.714,3.75,4.692
charm,5,5.758,2.581,4.406
charm (lucky),5,6.412,3.294,3.697
charm (social allure),5,6.206,3.029,5.059
charming,8,6.941,3.121,4.853
chasm,5,5.72,4.269,5.68
chauffeur,9,4.118,6.25,3.939
cheap,5,5,3.03,3
check,5,3.546,4.257,3.618
cheek,5,4.563,5.939,2.515
cheer,5,7.059,3.914,5.206
cheer (happiness),5,7.543,3.6,5.382
cheer (support),5,7.424,4.515,5.188
cheerful,8,6.171,3.618,4.882
cheers,6,5.697,3.514,4.771
cheese,6,5.258,6.704,2.677
cheetah,7,5.625,6.5,4.387
chef,4,4.677,6.618,3.647
chemist,7,3.571,6.4,3.857
chemistry,9,5.194,4.97,5.242
chemistry (rapport),9,5.688,3.212,4.313
chemistry (science),9,4.794,4.657,5.242
cheque,6,4.75,6.364,3.313
cherry,6,5.486,6.6,2.088
chess,5,3.758,6.088,3.206
chest,5,5.677,6.033,4.032
chest (cabinet),5,3.086,6.2,3.8
chest (torso),5,5.529,6.706,4
chestnut,8,3.529,6.4,1.886
chew,4,3.906,4.771,2.364
chewy,5,4.469,4.194,3
chief,5,4.829,5.029,5.177
chihuahua,9,3.969,6.636,1.516
child,5,4.226,6.167,2.375
children,8,4.968,6.094,3.344
chime,5,4.788,4.879,2.882
chimpanzee,10,5.871,6.815,4.2
chin,4,3.182,6.655,2.129
chip,4,4.094,5.971,2.03
chipmunk,8,4.059,6.824,2.161
chips,5,5,6.464,2.469
chisel,6,3.563,6.469,3.032
chocolate,9,7,6.5,3.152
choir,5,4.636,5.636,4.677
choke,5,6,4.344,4.194
choked,6,5.471,4.727,4
choose,6,4.882,2.677,4.576
choral,6,4.138,4.179,4.276
chord,5,4.906,5,2.882
chose,5,4.576,2.875,4.29
Christmas,9,7.516,5.086,6.394
chubby,6,4.029,4.829,4.5
chunk,5,3.914,4.657,3.686
church,6,3.129,6,5.364
chute,5,4.781,5.906,3.849
cigar,5,5.031,6.621,2.032
cigarette,9,4.969,6.739,2.281
cinema,6,5.571,6.571,5.229
circle,6,4.2,4.931,3.724
circuit,7,3.529,5,4
circular,8,3.727,5.29,3.765
circulate,9,3.941,3.371,4.182
circulation,11,4.629,4.333,4.471
circumstances,13,4.5,2.938,4.849
circus,6,6.273,6.344,5.152
citation,8,3.455,4.059,3.455
cite,4,3.258,3.548,3.613
city,4,6.161,5.929,6.219
civilian,8,4,5.031,4.091
civilization,12,5,3.647,6.324
civilized,9,4.121,3.324,5.294
clam,4,3.143,5.657,2.343
clan,4,4.5,5.235,4.941
clarinet,8,4.143,6.677,3.171
class,5,4.121,4.514,4.343
class (school),5,3.559,5.235,4.677
class (status),5,3.677,2.515,4.813
classical,9,4.971,3.121,4.914
classify,8,3.688,3.03,4.03
clause,6,2.971,3.75,3.281
claw,4,4.75,5.968,2.906
claws,5,6.031,6.387,2.844
claymore,8,4.476,5.474,4.182
clean,5,5.147,4.667,4.294
cleaner,7,4,5.727,3.686
cleaner (maid),7,3.471,6.294,3.441
cleaner (more clean),7,4.829,3.829,4.121
clear,5,4.667,3.441,3.882
clergy,6,2.844,5.636,4.182
clever,6,5.765,3.286,4.912
click,5,4.059,5.343,2.371
client,6,4.063,4.438,3.936
cliff,5,4.8,6.571,6
climate,7,4.969,4.061,5.576
climax,6,7.455,3.667,5.719
climb,5,4.714,4.771,4.543
climber,7,4.618,6.029,4.235
cling,5,4.242,3.871,3.281
clingy,6,4.125,3.059,3.714
cloak,5,4.182,6.5,3.486
clock,5,4.031,6.467,2.849
clone,5,5.129,4.194,4.375
close,5,4.133,3.531,3.226
close (near),5,4.531,3.75,2.849
close (stairwell),5,3.394,5.969,3.548
closure,7,4.242,2.771,4.485
cloth,5,3.647,6.406,2.875
clothes,7,5.206,6.382,3.265
clothing,8,4.939,6.242,3.441
cloud,5,3.871,5.594,5.194
cloud (sky),5,4.853,6.057,5.314
cloud (spoil),5,3,3.645,3.879
cloudy,6,3.912,5.086,5.229
clove,5,3.813,5.943,2.257
clover,6,4.206,5.697,2.457
clown,5,4.4,6.339,3.625
club,4,5.794,5.886,4.353
club (card suit),4,3.424,5.469,2.875
club (disco),4,5.824,6.324,4.406
club (hit),4,4.719,5.581,4.533
club (organisation),4,4.8,5.543,4.882
club (tool),4,3.765,6.469,3.618
clue,4,5.313,3.394,3.424
clueless,8,3.364,2.294,3.677
clumsy,6,4.265,2.943,4.118
cluster,7,4.344,4.588,3.794
clutch,6,4.4,5.441,3.375
clutch (bag),6,3.939,6.514,2.657
clutch (car),6,3.588,6.4,2.714
clutch (grab),6,5.343,4.514,3.714
clutter,7,3.515,4.697,3.788
coach,5,3.941,5.912,4.4
coach (bus),5,3.03,6.735,4.697
coach (trainer),5,4.906,5.807,4.177
coarse,6,3.625,4.061,3.212
coast,5,5.215,6.015,5.815
coast (beach),5,5.576,6.515,5.667
coast (glide),5,4.424,4.061,4.484
coaster,7,3.242,5.636,3.059
coat,4,3.844,6.625,3.182
coat (cover),4,3.735,5.294,3.121
coat (jacket),4,3.563,6.618,3.794
cobble,6,3.212,5.412,2.588
cock,4,6.585,6.288,3.866
cock (bird),4,3.618,6.4,3
cock (dick),4,6.059,6.114,4
cock (tilt),4,4.206,3.941,3.029
cockerel,8,4.097,6.556,3.065
cockney,7,4,4.156,3.4
cockroach,9,5.156,6.7,1.939
cocktail,8,7.156,6.382,2.943
cod,3,2.879,6.484,2.344
code,4,3.909,4.882,3.5
coerce,6,5.233,3.533,4.467
coffee,6,5.486,6.324,2.771
coffin,6,4.061,6.844,4.5
coin,4,4.394,6.546,2.063
coke,4,4.121,6.235,2.606
coke (coal),4,3.433,5.563,3.29
coke (cocaine),4,4.588,6.412,3.971
coke (cola),4,5.114,6.758,2.912
cola,4,4.406,6.343,3.029
cold,4,4.086,5,4
cold (illness),4,2.714,5.286,3.571
cold (temperature),4,4.818,4.424,4.061
collage,7,4,5.257,4.171
collar,6,3.548,6.406,2.688
collate,7,3.546,2.906,4.281
collect,7,4.273,4.161,4
college,7,4.912,6.147,5.303
colonel,7,3.912,5.794,4.97
colony,6,4.091,4.879,5.424
colour,6,6.324,5.206,4.333
column,6,3.242,5.824,4.294
comb,4,3.25,6.625,2.032
combat,6,5.286,4.853,5.235
combatant,9,5.107,4.714,4.852
combustion,10,5.971,4.829,4.886
comedian,8,6.294,5.879,3.941
comedy,6,7.065,3.5,5
comet,5,6.457,6.057,5.824
comfort,7,4.258,3.114,4.257
comfortable,11,4.514,2.912,4.382
comma,5,3.355,4.774,2.167
command,7,5.613,2.909,5.065
commander,9,5.088,5.314,5.343
commanding,10,6.156,3.281,5.294
comment,7,3.743,3.882,3.438
committee,9,3.75,4.849,5.063
common,6,3,3.188,4.194
communication,13,5.2,3.824,5.412
compare,7,3.688,3.303,3.969
comparison,10,4.382,2.97,4.529
compass,7,3.647,6.412,2.636
compete,7,5.6,3.059,5.212
competence,10,5.387,2.906,5.125
competent,9,5,3.485,4.625
competition,11,6.273,4,5.371
complement,10,6.394,2.8,4.529
complete,8,5.857,3.824,5.059
complex,7,4.879,2.546,5.333
complex (behaviour),7,5.206,2.206,5.353
complex (buildings),7,3.514,5.714,5.588
complex (difficult),7,5.394,3.032,5.235
complicated,11,5.242,2.6,5.257
compliment,10,6.571,3.229,5.171
compose,7,4.546,3.576,4.606
composer,8,4.5,5.636,4.375
compute,7,3.914,3.571,4.382
computer,8,4.515,6.719,3.719
comrade,7,4.781,4.242,4.529
conceal,7,4.833,3.258,3.226
concealed,9,4.531,3.125,3
concentrate,11,4.364,2.765,4.971
concept,7,4.735,2.057,5.086
conceptual,10,4.8,1.939,4.903
concert,7,6.939,5.714,5.543
conclude,8,3.849,3.057,4
conclusion,10,4.571,3,4.6
concoct,7,4.774,2.871,3.931
concoction,10,5.719,4.484,3.581
concrete,8,3.094,6.344,4.455
condemn,7,4.452,3,5.063
condescend,10,4.065,2.563,4.069
condescending,13,4.531,2.969,3.839
conductor,9,4.286,6,4.086
confer,6,3.645,3.161,3.645
conference,10,3.355,5.281,4.969
confess,7,5.265,2.882,4.794
confetti,8,5.75,6.452,2.091
confide,7,5.029,2.6,4.6
confidence,10,6.849,3.059,5.912
confident,9,7,2.625,5.567
confirm,7,4.429,3.636,4.094
confirmation,12,3.912,4,4.529
conform,7,3.647,2.765,4.265
conformity,10,3.686,2.8,4.441
confuse,7,3.813,2.758,4.182
confused,8,4.323,2.719,4.226
confusion,9,4.686,2.571,4.743
connect,7,4.265,3.229,4.088
connection,10,5.667,3.75,4.909
connoisseur,11,5.828,4.138,4.724
conquer,7,6.706,3.515,6.177
conqueror,9,6.286,5.194,6.229
conquest,8,6.212,3.697,5.97
consent,7,4.588,3.364,4.515
console,7,4.912,3.382,4.324
consonant,9,3.531,4.469,2.794
construction,12,3.909,5.242,5.258
consult,7,3.353,3.794,4.294
contain,7,3.581,3.182,4.094
container,9,3.485,6.029,3.394
contempt,8,4.714,3.029,4.657
contend,7,4.182,2.818,4.242
contender,9,5.323,3.882,4.853
content,7,3.968,3.143,4.147
content (contents),7,3.8,4.441,4.5
content (happy),7,6.548,2.849,5.438
contents,8,3.5,4.677,3.914
context,7,4.061,2.853,4.182
continent,9,3.424,6.364,6.063
continental,11,4.067,4.355,5.1
contract,8,3.971,5.546,4.029
contract (agreement),8,3.455,4.667,4.735
contract (catch),8,4.333,3.606,3.818
contribute,10,4.941,2.765,4.647
contribution,12,5.2,2.943,5.486
convene,7,3.967,3.172,3.793
convener,8,3.3,4.76,4.185
convent,7,3.226,4.875,4.286
convention,10,3.364,3.788,4.818
convert,7,4.242,2.094,4
convict,7,5.455,5.029,4.647
conviction,10,5.143,3.6,5.143
convoy,6,3.588,5.546,5.147
cook,4,5.094,5.485,4.091
cooker,6,4.229,6.677,3.914
cool,4,5.235,2.857,3.941
cool (popular),4,5.727,2.839,4.486
cool (temperature),4,3.353,4.364,3.441
cooperate,9,4.382,3.4,4.629
copy,4,3.394,3.879,3.485
coral,5,4.727,5.735,4.094
cord,4,3.206,5.457,3.242
core,4,4.719,4.182,3.774
cork,4,4.094,6.5,1.936
corn,4,3.412,6.353,2.147
corn (foot),4,3.065,6,1.727
corn (maize),4,3.086,6.429,2.8
corner,6,3.529,6.029,2.941
corner (edge),6,3.441,5.941,2.657
corner (surround),6,4.121,4.029,3.657
cornered,8,4.829,3.771,3.677
cornflour,9,2.313,6.719,2
corporation,11,3.212,4.677,6.143
corpse,6,4.968,6.6,3.844
corridor,8,3.529,5.938,4.324
corrupt,7,4.212,3.171,5.182
cortex,6,4.129,5.226,4
cost,4,5.031,3.419,4.936
costly,6,4.412,3.829,4.971
costume,7,5.909,5.656,4.242
cosy,4,5.406,3.313,3.364
cottage,7,3.971,6.765,4.088
cotton,6,3.559,6.438,2.875
couch,5,3.667,6.758,3.742
couch (express),5,3.63,4.304,3.5
couch (sofa),5,4.091,6.714,4.171
cough,5,4.059,5.829,3.143
councillor,10,3.647,5.543,4.088
counsellor,10,3.813,5.364,4.394
count,5,2.886,3.912,3.677
count (numbers),5,3.029,3.629,3.882
count (title),5,3.242,4.433,3.971
counter,7,3.059,5.429,3.529
counter (keeping account),7,3.086,4.583,3.8
counter (oppose),7,4.515,3.212,4.576
counter (worktop),7,3.5,6.576,3.849
country,7,4.371,5.618,6.265
county,6,3.212,5.469,5.455
coup,4,3.667,3.76,4.083
couple,6,5.364,5.029,4.177
couple (a few),6,4.059,4.314,2.457
couple (romantic pair),6,6.382,5.364,4.5
courage,7,7.206,2.4,5.886
courageous,10,6.588,2.914,5.6
course,6,3.629,3.941,4.294
course (class),6,4.194,4.688,4.419
course (path),6,4.294,4.364,4.514
court,5,4.903,5.516,5.091
court (law),5,3.97,5.667,5.471
court (sport),5,3.788,5.686,4.219
court (woo),5,6.1,3.767,4.633
courtship,9,5.257,4.118,4.177
courtyard,9,3.758,6.294,4.853
cover,5,4.226,4.406,4
covert,6,4.625,2.849,3.75
cow,3,3.147,6.853,4.177
coward,6,3.807,3.188,3.323
cowardice,9,4.059,2.543,3.882
cowardly,8,4.406,2.515,3.156
cowboy,6,4.853,6.177,3.647
cowboy (reckless),6,5.667,4.344,4.29
cowboy (wild west),6,5.364,5.618,4.5
crab,4,4.057,6.8,2.206
crab (cranky person),4,3.412,3.677,4.171
crab (shellfish),4,3.242,6.576,2.594
cradle,6,4.143,5.971,2.771
craft,5,4.735,4.457,3.824
craft (skill),5,4.794,4.546,4.576
craft (vessel),5,3.515,6.057,4.971
crag,4,4.182,5.55,3.476
cranium,7,4.774,6.233,3.452
crank,5,4.059,4.2,3.853
crank (grouch),5,4.345,3.552,3.833
crank (winch),5,3.71,5.091,3.613
crap,4,4.147,3.636,3.515
crash,5,5.152,5.452,5.212
crater,6,4.257,6.177,5.061
crawl,5,3.969,4.794,3
crayon,6,4.265,6.457,1.686
crazy,5,6.206,2.794,4.912
cream,5,4.515,6.5,2.457
create,6,5.529,2.686,4.758
creator,7,5.514,3.147,5.941
creature,8,5.133,5.394,3.645
credit,6,4.029,3.235,4.314
credit (money),6,5.441,4.667,4.636
credit (praise),6,5.371,3.618,4.581
creek,5,3.906,5.938,4.226
creep,5,5.118,3.353,3.629
crest,5,4.061,5.094,3.455
crevice,7,4.452,4.936,3.25
cricket,7,3,5.719,3.294
cricket (insect),7,2.971,6.514,1.879
cricket (sport),7,2.794,6.412,4.059
crime,5,5.4,4.758,5.515
criminal,8,5.353,5.143,4.943
crisis,6,6.147,3.743,6.059
crisp,5,5.086,5.114,2.882
crisp (chip),5,4.406,6.531,2.212
crisp (sharp),5,5.914,4,3.257
critic,6,4.313,4.543,4.452
criticism,9,5,3.031,4.765
criticize,9,4.882,2.794,4.486
crocodile,9,5.441,6.8,5.111
crook,5,4.849,4.303,4.182
crook (criminal),5,5.529,5.818,4.394
crook (stick),5,2.879,5.364,3.265
crop,4,3.606,5.727,3.871
crops,5,3.625,5.933,4.633
cross,5,3.618,5,3.441
cross (an object),5,3.25,5.909,2.939
cross (annoyed),5,4.686,3.743,4.314
cross (offend),5,4.879,2.879,4.324
cross (pass),5,3.424,4.571,3.8
crossbow,8,4.5,6.257,3.514
crossed,7,3.636,3.758,3.706
crow,4,3.469,6.656,2.094
crowd,5,5.206,5.875,5.813
crown,5,5.333,6.345,3
crucifix,8,4.818,5.781,3.355
crucify,7,5.394,4.333,5.125
crude,5,5.303,2.576,3.906
cruel,5,4.029,2.706,4.543
cruise,6,5.063,5.281,5.1
crumb,5,3.303,6.03,1.375
crumble,7,4.323,4.324,3.394
crunch,6,4.875,4.303,3.688
crunchy,7,4.677,5.143,3.543
crush,5,6.094,4.5,4.486
crushed,7,5.125,4.188,4.706
crust,5,3.059,5.941,2.576
crutch,6,3.412,5.543,3.441
cry,3,4.794,4.971,3.939
cry (shout),3,5.618,4.829,4.559
cry (weep),3,4.912,5.114,4.114
crying,6,4.912,5.257,4.824
crystal,7,6.371,6.114,2.8
cube,4,2.406,6.121,3.364
cuddle,6,6.629,5.486,3.886
cues,4,3.794,3.059,3.242
cues (prompts),4,4.515,4.161,3.441
cues (snooker),4,2.849,6.206,2.727
cuisine,7,5.294,5.515,3.588
cultural,8,5.364,3.03,5.697
culture,7,5.824,3.188,6.25
cunning,7,6,2.529,4.588
cunt,4,5.636,4.441,4.344
cup,3,3.886,6.5,2.147
curb,4,3.177,5.412,2.765
cure,4,6.419,4.219,5.5
curious,7,6.452,2.25,4.8
currant,7,3.771,5.559,2.743
currency,8,4.853,4.469,4.719
current,7,4.645,3,4.419
curry,5,5.088,6.529,2.853
curse,5,5.667,2.829,4.629
curtain,7,3.323,6.606,3.613
cushion,7,3.677,6.2,2.588
custom,6,4.114,2.765,3.853
cut,3,4.219,5.969,3
cut (clip),3,3.788,5.03,2.686
cut (of meat),3,4.061,5.75,3.03
cut (share),3,3.6,4.03,3.063
cut (wound),3,5.406,6,3.452
cute,4,5.343,2.941,3.353
cycle,5,4.452,4.733,3.939
cyclone,7,5.647,5.75,5.743
cymbals,7,5.345,5.933,3.767
cynical,7,4.206,2.235,4.455
Dad,3,4.912,6.257,5.147
daffodil,8,5.529,6.765,2.765
dagger,6,5.471,6.441,3.727
daisy,5,4.394,6.6,2.143
damage,6,4.618,4.114,5.412
damaged,7,4.371,4.171,5
Dame,4,4.194,5.125,4.548
damp,4,3.343,5.147,3
damsel,6,4.794,4.912,3.406
dance,5,6.424,4.807,4.382
dancer,6,6.5,6.412,3.727
dancing,7,7.229,5.371,4.306
dandruff,8,2.5,6.364,2.156
danger,6,7.147,3.324,5.563
dangerous,9,7.353,3.114,5.824
dangle,6,4.485,3,3.031
dapper,6,5.533,2.875,3.903
dare,4,6.242,3.406,4.636
dark,4,4.294,4.515,5.229
darkness,8,5.333,4.706,5.588
darling,7,5.818,3.229,4
data,4,2.882,5.382,4.441
date,4,5.559,4.382,4
date (calendar),4,3.394,4.971,3.286
date (fruit),4,3.657,6.029,2.059
date (romantic),4,7.156,4.406,4.548
daughter,8,4.143,5.941,4.457
dawn,4,5.9,5.031,4.742
daybreak,8,6.25,4.625,4.871
daylight,8,5.849,5.212,5.471
daze,4,3.743,3.353,3.471
dazzle,6,6.281,3.219,5.033
dead,4,4.571,5.588,5.029
deaf,4,3.344,5.091,4.235
deal,4,4.424,3.394,4.188
deal (bargain),4,4.794,3.559,4.235
deal (playing cards),4,4.735,5,3.212
deal (with),4,4.152,3.059,4.303
dear,4,4.829,3.03,3.394
death,5,5.212,4.029,6.029
debacle,7,5.32,3.044,4.917
debt,4,3.343,4.343,5.882
debtor,6,3.133,4.742,4.129
decadent,8,6.967,2.464,5.607
decay,5,3.857,4.529,4.029
deceit,6,4.559,2.4,4.471
deceive,7,4.546,3,4.97
decent,6,5.094,2.636,4.387
deception,9,5.03,2.235,5.514
deck,4,3.286,6.028,4.086
deck (cards),4,4,6.313,2.455
deck (ship),4,3.971,6.441,5.636
declare,7,5.375,3.294,4.818
decompose,9,3.576,4.882,3.875
decorate,8,4.882,4.618,4.235
decoration,10,5.031,4.781,3.655
decorator,9,3.818,5.879,3.824
decree,6,3.387,3.71,3.939
deduct,6,3.471,2.912,3.849
deduction,9,4.706,2.794,3.765
deed,4,4,3.943,3.5
deep,4,5.765,3.794,5.912
deer,4,4.344,6.667,3.633
defame,6,3.581,2.807,3.936
defeat,6,3.871,3.061,5.029
defiant,7,5.121,2.839,4.906
define,6,3.688,3.063,3.613
definition,10,3.2,3.735,3.647
deformed,8,4.667,4.824,5.152
defy,4,5.677,2.719,5.258
dejected,8,3.469,2.387,3.967
delay,5,3.206,3.4,4.242
delicious,9,7.394,3.265,4.853
delight,7,7.091,3,4.667
delighted,9,6.382,3.286,4.939
delightful,10,7.371,2.657,5.294
delirium,8,5.382,2.75,4.909
delude,6,3.71,2.484,4.375
deluded,7,3.971,2.229,4.514
deluge,6,4.077,3.571,4.074
democracy,9,4.849,3.258,5.849
democratic,10,4.242,2.765,5.324
demolish,8,6.147,5.167,5.914
demon,5,6.061,3.758,5.469
dense,5,3.559,3.909,4.182
dentist,7,4.657,6.375,3.971
depress,7,3.242,3.156,4.419
depressed,9,3.029,3.029,5
depression,10,3.794,3.059,5.5
derelict,8,4.313,4.484,4.656
descend,7,3.879,3.677,3.636
descent,7,4.546,3.486,4.029
describe,8,4.177,2.853,3.886
description,11,4.086,3,4.543
desert,6,4.968,6.125,5.188
deserve,7,5.303,1.912,4.412
deserving,9,5.219,2.788,4.813
design,6,4.394,3.471,4.531
designer,8,4.9,4.581,4
desirable,9,6.909,2.807,5.161
desire,6,7.424,2.576,5.375
desk,4,3.129,6.714,3.438
desks,5,3.161,6.567,3.645
desolate,8,3.941,2.824,4.529
despair,7,4.588,3.125,4.853
desperate,9,5.152,2.333,4.667
desperation,11,4.235,2.088,5.235
despise,7,5.677,2.344,5
dessert,7,6,6.177,3.824
destination,11,5,4,5.118
destiny,7,6.143,2,6.147
destroy,7,6.031,3.943,5.625
destroyer,9,4.529,4.171,5.941
destruction,11,5.353,4.229,6.121
detach,6,3.375,3.788,3.531
detached,8,3.114,3.029,4.029
detail,6,4.697,3.743,2.441
detailed,8,4.727,3.667,4.088
determination,13,7.235,2.242,5.875
determine,9,5.177,2.882,4.758
determined,10,7.015,2.881,5.463
detest,6,5.097,2.394,4.909
detonate,8,5.818,4.742,5.939
detonation,10,6.121,4.606,5.75
develop,7,5.206,2.849,5
development,11,5.161,3.667,5.5
deviant,7,5.147,3.235,4.824
deviation,9,4.576,2.849,4.455
device,6,3.824,5.382,3.429
devil,5,5.906,2.968,5
devise,6,4.559,3.029,4.182
devote,6,5.853,2.829,5.286
devoted,7,5.182,2.914,4.6
devotion,8,5.914,2.588,5.735
diabetes,8,4.625,4.333,4.303
diamond,7,6.031,6.813,3.387
diamonds,8,7.177,6.765,3.429
dice,4,4.567,6.533,1.75
dictionary,10,3.121,6.394,4.303
die,3,4.576,4.706,5.485
died,4,5.094,5.258,5.323
diffusion,9,3.529,4,3.765
digest,6,3.242,4.879,4.029
digestion,9,3.25,5.281,3.781
digit,5,3.294,4.941,2.588
digit (finger),5,3.771,6.086,2.706
digit (number),5,3.212,5.765,2.941
digital,7,4.382,5.063,4.273
digits,6,3.424,5.057,2.914
digits (fingers),6,4.059,6.265,2.559
digits (numbers),6,3.829,5.6,2.8
dignified,9,4.667,2.818,4.906
dignity,7,5.114,2.229,5.429
dildo,5,6,6.6,3.813
dim,3,2.941,3.875,2.697
dinner,6,5.606,6.121,3.677
dinosaur,8,5.771,6.371,6.429
diploma,7,6.125,5.406,4.606
diplomat,8,3.742,4.75,4.5
dire,4,3.71,2.719,4.097
direct,6,5.088,4.029,4.515
direction,9,4.758,3.576,4.484
dirt,4,3.147,5.971,3.235
dirty,5,4.824,4.677,3.912
disappoint,10,4,3.086,4.686
disappointed,12,3.818,2.471,4.441
disaster,8,5.794,3.971,6.343
disband,7,3.469,3.281,3.063
disciple,8,3.714,4.057,4.114
discipline,10,4.563,2.844,4.875
disclose,8,4.219,2.5,3.967
disclosure,10,3.714,2.909,4
disco,5,6.303,5.152,4.563
discomfort,10,5.281,3.03,4.438
disconnect,10,3.25,4.147,3.594
discourage,10,3.235,2.849,4.242
discover,8,6.188,3.375,5.531
discovery,9,6.912,3.714,5.857
discrete,8,4.125,3.219,3.235
discretion,10,3.818,2.394,3.576
disdain,7,4.4,2.482,3.929
disease,7,4.059,5.059,4.912
diseased,8,3.882,4.4,5
disfigured,10,4.412,4.118,4.441
disgust,7,4.514,3.121,4.588
disgusted,9,4.576,2.914,4.914
disgusting,10,4,2.743,5
dish,4,3.5,6.207,2.767
disloyal,8,4.543,2.657,4.788
dismiss,7,3.576,3.406,3.6
disparity,9,3.433,2.172,4.767
displeased,10,4.286,3.029,4.086
dispose,7,3.265,3.771,3.606
disposition,11,4.031,2.6,4.563
dissent,7,4.355,2.667,4.188
dissident,9,4.679,3,4.192
distant,7,3.5,3.147,4.727
distinction,11,5.147,2.912,4.735
distinguish,11,4.594,2.879,3.909
distract,8,4.143,3.177,3.941
distraction,11,4.588,3.03,4.412
distress,8,5.457,3.286,4.971
distressed,10,4.294,2.824,4.765
disturb,7,5.265,2.971,4.429
disturbed,9,4.353,2.886,4.4
ditch,5,3.469,5.125,3.875
dive,4,5.314,4.382,4.171
diver,5,4.438,6,3.3
diverse,7,5.088,2.485,5.457
divert,6,4.394,3.742,4.031
divination,10,3.833,2.704,4.667
divine,6,6.125,1.936,5.719
divorce,7,5.094,4.25,5.161
dizzy,5,4.839,3,3.323
docile,6,2.533,3.033,3.138
dock,4,3.514,6.235,4.629
dock (deduct),4,3.903,3.862,3.781
dock (ship),4,3.719,6.188,5.125
doctor,6,5.088,6.382,4.147
doctrine,8,4.968,3.774,5.484
document,8,3.25,6.059,3.667
dodgy,5,4.257,3.394,3.727
dog,3,6.147,6.833,3.273
dogma,5,5.192,2.107,5.214
dole,4,3.333,3.778,3.071
doll,4,3.515,6.371,2.057
dollar,6,5.706,6.514,3.794
dolls,5,3.882,6.286,2.457
dolphin,7,5.406,6.849,4.871
dome,4,3.406,5.867,4.625
dominate,8,6.914,2.8,5.943
donkey,6,3.706,6.588,4.059
doom,4,5.688,2.182,5.75
doomed,6,4.906,3.032,5.486
door,4,2.818,6.636,3.571
doorman,7,3.429,6.471,3.743
dope,4,3.903,4.188,3.03
dope (drugs),4,5.5,5.818,3.97
dope (idiot),4,3.353,3.343,3.559
dopey,5,3.125,2.697,3.677
dose,4,3.171,4.265,2.882
doubt,5,4.273,2.588,4.088
dough,5,4.121,6.118,2.794
dough (baking),5,4.706,6.471,3.059
dough (money),5,5.485,5.857,4.229
dove,4,4.059,6.086,2.4
dove (bird),4,4.529,6.229,2.629
dove (dive),4,4.438,4.438,3.29
down,4,3.303,3.382,3.057
down (direction),4,3.188,4.71,3.469
down (fur),4,3,5.936,3.281
down (sad),4,3.188,2.875,3.968
drab,4,2.364,3.059,3
draft,5,3.727,4.531,3.588
draft (breeze),5,3.515,4.563,2.697
draft (first version),5,3.177,5.088,3.5
drag,4,3.794,4.206,3.636
dragon,6,6.781,4.839,5.531
drama,5,5.647,4.029,5.265
draught,7,4.103,4.1,3.793
draw,4,4.697,4.971,3.303
draw (artistic),4,5.152,4.343,4
draw (attract),4,6.206,2.886,4.743
draw (choose),4,4.514,4.114,3.543
draw (tie),4,3.313,4.636,3.091
drawers,7,2.912,6.343,3.571
drawing,7,4.771,5.735,3.706
dread,5,5.548,2.5,4.871
dream,5,6.303,2.719,5.5
dreams,6,6.667,2.742,5.667
dreary,6,2.656,2.794,3.441
dress,5,5.629,6.611,3.265
dress (formal),5,5.688,5.031,3.879
dress (put on clothes),5,5.265,5.147,3.788
dress (skirt),5,5.788,6.543,3.206
dressed,7,4.364,4.938,3.281
dresser,7,4.286,5.914,3.343
drift,5,3.515,3.206,3.559
drifter,7,3.853,3.625,3.182
drifting,8,4.219,3.147,4
drill,5,4.441,6.314,3.118
drill (practice),5,4.324,4.286,3.571
