Words,Length,AROU,CNC,SIZE
,,M,M,M
anus,4,4.03,5.906,2.853
anxiety,7,5.265,2.618,5.059
anxious,7,5.686,2.657,4.618
apathy,6,4.793,2,4.069
ape,3,4.677,6.576,4.849
apex,4,4.276,4.25,4.333
apologize,9,5,3.531,4.563
apology,7,4.5,3.059,4.706
appalling,9,5.364,2.412,5.242
appear,6,4.406,2.75,3.807
appearance,10,5.406,2.546,4.394
appeared,8,5.065,2.7,4.035
applause,8,6.686,5.6,5
apple,5,4.677,6.824,2.441
Apple (brand),5,4.849,5.943,5.353
apple (fruit),5,4.636,6.765,2.314
appliance,9,3.364,5.353,3.912
applied,7,3.758,2.727,4.194
apply,5,3.971,3.177,3.824
appoint,7,3.818,3.636,3.882
appointment,11,3.515,4.886,3.606
appreciate,10,5.75,3.344,5
approval,8,5.714,3.314,4.912
approve,7,5.061,3.097,4.294
apricot,7,4.188,6.5,2.441
apron,5,3.724,6.452,2.719
aptitude,8,4.5,2.818,4.688
arch,4,4.25,5.375,4.233
archaeology,11,3.529,4.829,5.235
archer,6,4.273,6.25,3.824
archery,7,4.677,5.706,3.824
architect,9,4.242,6,4.314
archive,7,3.571,5.429,4.912
argue,5,5.257,4.086,4.743
argument,8,6.313,3.788,5.182
arise,5,5.286,3.143,4.571
aristocracy,11,4.719,4.088,5.344
aristocratic,12,4.133,4.3,4.774
arm,3,3.735,6.727,3.171
arm (limb),3,3.5,6.694,3.389
arm (weapon),3,5.727,5.758,4.939
armadillo,9,4.029,6.559,3.364
armed,5,6.254,4.746,5.092
armour,6,4.5,6.273,4.364
armoury,7,4.719,5.788,4.906
arms,4,4.364,6.647,3.758
arms (limbs),4,3.857,6.743,3.6
arms (weapons),4,5.706,6.235,5.441
army,4,5.712,6.103,6.149
aroma,5,5.531,3.514,3.412
arouse,6,7.688,2.879,4.625
aroused,7,7.943,2.677,4.941
array,5,4,2.97,4.581
arrest,6,4.206,4.765,4.886
arrested,8,5.344,4.807,4.794
